title,date,description
Bitcoin ETF weekly inflows slowdown despite optimism following Trump’s inauguration,2025-01-27 07:00:00,"Inflows into spot Bitcoin exchange-traded funds in the United States tapered off over the past week, starkly contrasting the expectations of the crypto community following President Donald Trump’s inauguration. According to data from SoSoValue, the 12 spot Bitcoin ETFs experienced…"
"Top cryptocurrencies to watch this week: Mantra, Optimism, Sui",2025-01-26 11:44:00,"Some of the top cryptocurrencies to watch this week will be Mantra, Sui, and Optimism. Why? The cryptocurrency market saw Mantra (OM) reach a new record high Sunday, while Optimism (OP) plans a $53 million token unlock. Sui (SUI), currently…"
Binance to support Optimism network upgrade and hard fork,2024-12-27 08:06:00,"Binance support for Optimism network upgrade aims to improve performance and user experience. On Jan. 10, 2025, at 2:00 (UTC+8), Binance announced its support for the Optimism (OP) network upgrade and hard fork. To facilitate the upgrade, Binance will temporarily…"
Grayscale launches Lido DAO and Optimism Trust,2024-12-12 17:17:00,Grayscale Investments has expanded its lineup of crypto investment products with the launch of the Lido DAO Trust and Optimism Trust. The asset manager announced on Dec. 12 that it had added Grayscale Lido DAO (LDO) Trust and Grayscale Optimism…
"Cardano surge sparks optimism, marks the start of an epic bull run",2024-12-02 11:47:00,"Cardano’s bullish surge and Rollblock’s explosive presale gains spark investor optimism, with both tokens poised for significant growth in the crypto market. #partnercontent"
Digital asset investors embrace a bullish optimism | Opinion,2024-12-01 12:07:00,"In the new days of Tulip Mania for Bitcoin, cryptocurrency investors will be subject to worldwide US taxation on their digital assets."
Bitcoin ETF inflows resume amid renewed investor optimism in BTC,2024-11-28 07:33:00,"U.S. spot Bitcoin exchange-traded funds saw renewed inflows on Nov. 27 as investor sentiment toward the flagship cryptocurrency improved, driven by Bitcoin’s rally toward the $100K milestone. According to data from SoSoValue, the 12 spot Bitcoin ETFs recorded $103.09 million…"
"BlackRock’s BUIDL joins Aptos, Arbitrum, Avalanche, Optimism and Polygon",2024-11-13 15:39:00,"BlackRock is expanding its tokenized fund — BUIDL — to multiple blockchains. BlackRock has announced the expansion of its BlackRock USD Institutional Digital Liquidity Fund — BUIDL — which is tokenized by Securitize, to five additional blockchains: Aptos (APT), Arbitrum…"
"Crypto VC funding: Kraken bags $42.5m from Optimism, Glow Labs raises $30m",2024-11-02 16:43:00,"This week, crypto exchange Kraken stole the show with its $42.5 million grant raise from Optimism. Kraken has disclosed its latest decision to launch Ink, a layer-2 on the Optimism (OP) blockchain. As a part of the deal, Optimism has…"
Base to bring Optimism’s fault-proof system to enhance decentralization,2024-10-24 07:03:00,"Coinbase’s layer-2 network Base is set to launch the fault-proof system, allowing users to independently confirm the validity of withdrawals. Ethereum-based network Base will integrate Optimism‘s fault-proof system — also known as fraud proofs — on Oct. 30, enabling users…"
"With presale now live, Zig Network aims to surpass Render, Optimism by 2025",2024-10-18 10:17:00,"Zig Network is poised to be a top investment opportunity, with its presale live and potential to surpass Render and Optimism. #partnercontent"
Mint Blockchain secures $1.35m grant from Optimism to boost NFT innovations,2024-10-15 11:21:00,"Ethereum L2 network for the NFT industry, Mint Blockchain received a grant of 750,000 OP tokens ($1.35 million) from Optimism Governance in the 28th cycle of Optimism Grants. On Oct. 15, Mint Blockchain announced in an X post that Optimism(OP)…"
Optimism token price is at risk of a bearish breakdown,2024-10-10 14:11:00,"Optimism token remained in a deep bear market as the recent rally of most cryptocurrencies stalled.  Optimism (OP), a leading layer-2 token, was trading at $1.5140 on Oct. 10, down 70% from its highest point this year. One reason Optimism…"
"Layer-2 criticism hits Arbitrum, Optimism; DTX Exchange debuts hybrid blockchain",2024-09-14 12:59:00,"Ethereum L2s Arbitrum and Optimism face criticism and price drops, while DTX Exchange’s layer-1 blockchain excels in presale. #partnercontent"
Buy signal emerges for Optimism following 9% price drop,2024-08-12 10:12:00,The recent price drop in the Optimism price has helped a strong buy signal resurface with long-term holders at record low levels. Optimism (OP) plunged by 9.6% in the past 24 hours and is trading at $1.33 at the time…
Optimism,Inconnu,
"Bitcoin drops below $99k, DeepSeek debuts, Trump and dump | Weekly Recap",2025-02-02 14:16:00,"Today’s edition of the weekly recap spotlights Bitcoin’s retreat and the meme coin market’s downturn. Plus, KuCoin enters a guilty plea for operating an unlicensed money-transmitting business and agrees to pay a hefty penalty. Bitcoin drops below $99,000 MicroStrategy puts…"
