title,date,description
"Near Protocol’s X page hacked, again",2024-09-04 19:36:00,"Near Protocol’s X page was apparently breached by hackers who seemed uninterested in promoting sham airdrops or rug pulls. On Sept. 4, bizarre posts were seen published from the X account of layer-1 proof-of-stake blockchain, Near protocol (NEAR).  Account hijacks…"
Rollblock’s 100x crypto forecast for 2024 ranks it with Binance coin and Near Protocol,2024-08-16 18:06:00,"Binance coin and Near Protocol may offer limited returns, but new play-to-earn gem Rollblock could deliver 100x gains. #partnercontent"
NEAR Protocol,Inconnu,
NEAR announces new protocol to help developers create multi-chain dapps,2024-08-08 14:29:00,"NEAR Foundation has launched a new protocol designed to simplify the development of decentralized applications across multiple blockchains. The NEAR Foundation, a Switzerland-based non-profit organization, has announced the mainnet release of Chain Signatures, a new protocol designed to simplify the…"
"Are Trump tariffs crashing crypto? Virtuals Protocol, Bittensor, Neo, Jasmycoin among top laggards",2025-02-02 11:52:00,"Cryptocurrency prices are crashing, with the total market capitalization of all coins falling by nearly 4% to under $3.6 trillion. Bitcoin (BTC) and most altcoins were in the red, with tokens like Virtuals Protocol, Bittensor, Neo, and Jasmycoin being the…"
Solana selloff: SOL price goes red as $1 trillion milestone nears,2025-02-02 11:31:00,"Solana price retreated sharply during the weekend even as the network capped a record $258 billion milestone in January. Solana (SOL) dropped to $210 on Sunday, down by almost 30% from its highest level this year, bringing its market cap…"
Solana flips Ethereum on nearly every metric: Another crypto to watch,2025-01-24 23:06:00,Analyzing Solana’s recent surge and Remittix as another crypto to watch. #partnercontent
"XCN crypto rises nearly 150%, what is XCN?",2025-01-24 09:28:00,"XCN crypto surged by as high as 149% in the past 24 hours of trading, soaring nearly 400% in the past week. What is XCN and is it headed towards higher gains? According to data from CoinGecko, Onyxcoin’s token has…"
"NEAR set to soar, but experts back WallitIQ to outshine Chainlink this cycle",2025-01-22 20:45:00,"NEAR eyes major gains, but experts favor WallitIQ, a wallet token set to outshine Chainlink this cycle. #partnercontent"
Lightchain AI presale nears capacity; Shiba Inu and PEPE top addresses identified,2025-01-16 20:15:00,"Investors rush to join Lightchain AI’s $10.6M presale, as SHIB and PEPE show strong accumulation trends. #pattnercontent"
New AI crypto agent MIND of Pepe raises nearly $1m in 24 hours of presale,2025-01-15 21:01:00,"MIND of Pepe, a new AI crypto agent, captures attention by raising nearly $1m within 24 hours of its presale. #partnercontent"
"DeFi protocol UniLend Finance exploited for $197,000",2025-01-13 09:02:00,"Decentralized finance protocol UniLend Finance has reportedly been exploited on Ethereum, leading to a loss of roughly $197,000 worth of assets. On Jan. 12, real-time web3 security startup TenArmorAlert reported that an attacker exploited UniLend’s “redeem process” by manipulating a…"
Holiday rally incoming: PEPE and NEAR prepare for moonshot as Lunex presale hits $5.5M,2024-12-28 17:19:00,"NEAR and PEPE eye festive rallies, while Lunex Network presale soars past $5.5M, targeting $10M as a potential moonshot token. #partnercontent"
"Ethereum can speed up by running nearly 65% of its transactions in parallel, Sei says",2024-12-27 09:25:00,"Ethereum could handle more transactions and run faster by processing most of them simultaneously, a new study reveals. A new study shows that almost 65% of Ethereum‘s transactions could be processed at the same time, potentially making the network much…"
"Bitcoin rally signal: XRP, SOL, NEAR, DOGEN, and DOT poised to explode",2024-12-25 06:48:00,"Bitcoin’s recent surge hints at a market shift, raising speculation that altcoins like DOGEN, XRP, Solana, and Polkadot could see major gains. #partnercontent"
